id,transaction_no,transaction_date,doc_ref_no,effectivity_date,employee_id,basic_income,housing_allowances,car_allowances,petrol_allowances,food_allowances,others,incentive,mobile_allowances,total_gross_pay,remarks,hr_remarks,mngt_remarks,hr_approved_by,mngt_approved_by,status_id,created_on,created_by,updated_on,updated_by
165,,1999-01-01,,1999-01-01,21,900,300,0,200,0,300,0,0,1700,,,,,,5,,,2020-02-23 19:47:58,17
166,,1999-01-01,,1999-01-01,9,2300,0,0,0,360,340,0,0,3000,,,,,,5,,,2020-02-23 19:47:58,17
167,,1999-01-01,,1999-01-01,5,2800,650,0,0,0,650,0,0,4100,,,,,,5,,,2020-02-23 19:47:58,17
168,,1999-01-01,,1999-01-01,26,2008,0,0,0,365,397,0,0,2770,,,,,,5,,,2020-02-23 19:47:58,17
169,,1999-01-15,,1999-01-15,19,2500,300,0,200,365,135,0,0,3500,,,,,,5,,,2020-02-23 19:47:58,17
170,,1999-01-01,,1999-01-01,14,8400,4000,0,100,0,2900,0,0,15400,,,,,,5,,,2020-02-23 19:47:58,17
171,,1999-04-01,,1999-04-01,7,2300,0,0,150,0,945,0,0,3395,,,,,,5,,,2020-02-23 19:47:58,17
172,,1999-09-01,,1999-09-01,16,2400,0,0,0,365,535,0,0,3300,,,,,,5,,,2020-02-23 19:47:58,17
173,,1999-12-01,,1999-12-01,2,1800,300,300,180,0,600,0,0,3180,,,,,,5,,,2020-02-23 19:47:58,17
174,,2000-04-01,,2000-04-01,26,2008,300,0,0,365,577,0,0,3250,,,,,,5,,,2020-02-23 19:47:58,17
175,,2000-04-01,,2000-04-01,7,2300,500,0,150,0,945,0,0,3895,,,,,,5,,,2020-02-23 19:47:58,17
176,,2000-01-01,,2000-01-01,33,900,300,0,0,0,300,0,0,1500,,,,,,5,,,2020-02-23 19:47:58,17
177,,2001-04-26,,2001-04-26,35,1643,0,0,0,365,0,0,0,2008,,,,,,5,,,2020-02-23 19:47:58,17
178,,2001-04-26,,2001-04-26,36,1643,0,0,0,365,0,0,0,2008,,,,,,5,,,2020-02-23 19:47:58,17
179,,2001-06-01,,2001-06-01,16,2400,300,0,0,365,535,0,0,3600,,,,,,5,,,2020-02-23 19:47:58,17
180,,2001-06-01,,2001-06-01,26,2008,300,300,0,365,577,0,0,3550,,,,,,5,,,2020-02-23 19:47:58,17
181,,2002-02-05,,2002-02-05,23,3500,1000,300,0,0,1200,0,0,6000,,,,,,5,,,2020-02-23 19:47:58,17
182,,2002-01-01,,2002-01-01,22,3500,800,300,0,0,250,0,0,4850,,,,,,5,,,2020-02-23 19:47:58,17
183,,2002-06-01,,2002-06-01,28,1643,300,0,0,365,142,0,0,2450,,,,,,5,,,2020-02-23 19:47:58,17
184,,2002-06-01,,2002-06-01,24,900,300,0,200,0,600,0,0,2000,,,,,,5,,,2020-02-23 19:47:58,17
185,,2002-06-01,,2002-06-01,34,900,300,0,0,0,300,0,0,1500,,,,,,5,,,2020-02-23 19:47:58,17
